lat,lon,date,n_grouped,pf_observed,pf_depth,obs_depth,obs_limit,source,transect_point,org_thick,rock,Soil Type,rocky/silty,Wildfire,Widlfire date/name,Burn Year,Canopy and Surface
63.14535798,-117.259435,2019-08-15,1,0,,,,Bonaventure_Whati,,,,,,,,,
63.16078235333333,-117.16204900000001,2019-08-15,3,1,,,,Bonaventure_Whati,,,,,,,,,
63.16562134,-117.14501233333333,2019-08-15,3,1,,,,Bonaventure_Whati,,,,,,,,,
65.4897037575,-142.047729,2017-05-29,4,1,75.0,75.0,132.0,Minsley_2017,,7.0,,,,,,,
65.4899695,-142.04750675000003,2017-05-29,4,1,131.5,128.66666666666666,132.0,Minsley_2017,,9.666666666666666,,,,,,,
65.49203650749999,-142.05566,2017-05-29,4,0,,123.0,132.0,Minsley_2017,,9.666666666666666,,,,,,,
65.23368133666666,-139.29062866666666,2017-08-27,3,0,,123.0,132.0,Minsley_2017,,9.0,,,,,,,
65.49209974249999,-142.05490325,2017-05-29,4,0,116.66666666666667,116.66666666666667,132.0,Minsley_2017,,6.333333333333333,,,,,,,
65.75058340299252,-144.81963377910293,2017-02-28,6,0,,245.0,177.2,Minsley_2017,,2.3333333333333335,,,,,,,
65.4921222575,-142.054655,2017-05-29,4,0,194.0,228.0,132.0,Minsley_2017,,5.0,,,,,,,
64.91685567666666,-138.71386666666666,2017-08-27,3,1,49.0,49.0,132.0,Minsley_2017,,10.0,,,,,,,
64.91529401333334,-138.71387166666668,2017-08-27,3,1,53.5,53.5,132.0,Minsley_2017,,,,,,,,,
64.91369199,-138.70603966666667,2017-08-27,3,1,49.0,49.0,132.0,Minsley_2017,,10.0,,,,,,,
65.268488398,-142.99845580000002,2017-04-06,5,1,74.0,74.0,132.0,Minsley_2017,,4.0,,,,,,,
65.26835799799998,-142.99813179999998,2017-04-06,5,1,60.75,60.75,132.0,Minsley_2017,,,,,,,,,
64.91361632666667,-138.70486066666663,2017-08-27,3,1,38.0,38.0,132.0,Minsley_2017,,,,,,,,,
65.35706843794338,-144.0707573945718,2017-03-01,6,1,40.6,38.0,115.8,Minsley_2017,,5.0,,,,,,,
65.135048005,-141.387493,2017-05-30,4,1,56.666666666666664,56.666666666666664,132.0,Minsley_2017,,5.0,,,,,,,
64.91309066333334,-138.70409833333335,2017-08-27,3,1,67.0,67.0,132.0,Minsley_2017,,8.0,,,,,,,
65.27078219799999,-143.0010992,2017-04-06,5,1,54.75,54.75,132.0,Minsley_2017,,6.0,,,,,,,
64.76007807249131,-138.36430457418496,2017-08-28,3,1,93.0,81.0,118.5,Bonaventure_Whati,,8.0,,,,,,,
64.75983366333332,-138.36419733333335,2017-08-28,3,1,70.0,70.0,132.0,Minsley_2017,,7.0,,,,,,,
64.962720245,-141.00635450000001,2017-05-30,4,1,63.0,63.0,132.0,Minsley_2017,,6.5,,,,,,,
64.96265324,-141.00603925000001,2017-05-30,4,1,63.333333333333336,63.333333333333336,132.0,Minsley_2017,,6.0,,,,,,,
64.9625547525,-141.0058075,2017-05-30,4,1,65.0,65.0,132.0,Minsley_2017,,8.0,,,,,,,
65.22613343285715,-144.40417599999998,2017-02-04,7,1,60.833333333333336,60.833333333333336,132.0,Minsley_2017,,9.75,,,,,,,
65.087082858,-142.59573006,2018-01-04,5,1,52.0,52.0,132.0,Minsley_2017,,,,,,,,,
65.16762289666666,-143.65150228333334,2017-12-11,6,1,49.0,49.0,132.0,Minsley_2017,,,,,,,,,
65.16837405166666,-143.6499350666667,2017-12-11,6,1,65.6,65.6,132.0,Minsley_2017,,,,,,,,,
65.16734911,-143.6503615,2017-12-11,6,1,52.4,52.4,132.0,Minsley_2017,,,,,,,,,
65.16722492833334,-143.64895038333336,2017-12-11,6,1,65.2,65.2,132.0,Minsley_2017,,,,,,,,,
64.96481700749999,-141.0116375,2017-05-30,4,0,147.0,147.0,132.0,Minsley_2017,,1.6666666666666667,,,,,,,
64.96454324000001,-141.01184024999998,2017-05-30,4,1,71.33333333333333,71.33333333333333,132.0,Minsley_2017,,9.333333333333334,,,,,,,
65.16704770833334,-143.65000355,2017-12-11,6,1,69.0,69.0,132.0,Minsley_2017,,,,,,,,,
64.7923847425,-139.50313225,2017-05-28,4,1,77.66666666666667,77.66666666666667,132.0,Minsley_2017,,21.666666666666668,,,,,,,
64.79248024500001,-139.50280475,2017-05-28,4,1,93.5,93.5,132.0,Minsley_2017,,19.666666666666668,,,,,,,
64.60885066333334,-137.0295186666667,2017-08-26,3,1,82.5,82.5,132.0,Minsley_2017,,27.5,,,,,,,
64.902862602,-140.9835496,2017-04-04,5,1,88.5,88.5,132.0,Minsley_2017,,21.75,,,,,,,
64.79441276,-139.50185925,2017-05-27,4,1,87.66666666666667,87.66666666666667,132.0,Minsley_2017,,10.333333333333334,,,,,,,
64.7946605025,-139.5014665,2017-05-27,4,1,71.33333333333333,71.33333333333333,132.0,Minsley_2017,,8.0,,,,,,,
64.61225834462336,-137.03075915112646,2017-08-25,3,0,,,123.0,Ebel_2018,,,,,Rocky,,,,
64.794271995,-139.50059075000001,2017-05-27,4,0,,123.0,132.0,Minsley_2017,,16.666666666666668,,,,,,,
65.06890687749998,-143.206226625,2017-01-12,8,0,92.66666666666667,104.8,132.0,Minsley_2017,,6.0,,,,,,,
64.7958730075,-139.49058175,2017-05-27,4,0,69.5,69.5,132.0,Minsley_2017,,9.333333333333334,,,,,,,
64.7913339925,-139.49499375,2017-05-27,4,1,81.66666666666667,81.66666666666667,132.0,Minsley_2017,,10.0,,,,,,,
64.60752839290262,-137.0234501149774,2017-08-25,3,0,,123.0,127.5,Bonaventure_Whati,,12.0,,,,,,,
64.53302701333332,-137.83421366666667,2017-08-25,3,1,72.5,72.5,132.0,Minsley_2017,,5.0,,,,,,,
64.818845402,-141.9559456,2017-04-03,5,0,,123.0,132.0,Minsley_2017,,7.333333333333333,,,,,,,
64.88710706125472,-142.98331355420902,2017-02-26,6,1,54.25,51.333333333333336,118.2,Minsley_2017,,16.5,,,,,,,
65.04358663636366,-145.3201906363636,2016-12-06,11,1,63.857142857142854,63.857142857142854,132.0,Minsley_2017,,23.714285714285715,,,,,,,
64.54386132666667,-137.84284333333332,2017-08-25,3,0,60.0,60.0,132.0,Minsley_2017,,38.0,,,,,,,
64.71575673999999,-140.4141355,2017-05-27,4,1,60.333333333333336,60.333333333333336,132.0,Minsley_2017,,21.333333333333332,,,,,,,
64.716216495,-140.41371,2017-05-27,4,0,,,132.0,Minsley_2017,,15.666666666666666,,,,,,,
61.006700986666665,-117.11812833333335,1981-08-14,3,0,66.0,66.0,,Holloway_2019,,91.0,,"Clay, silt",,,,,
61.00000932333333,-117.097729,2018-12-14,3,1,59.0,59.0,,Holloway_2019,,60.0,,"Clay, silt",,,,,
60.80495132666667,-117.218193,1981-08-14,3,1,76.0,76.0,,Holloway_2019,,76.0,,Sand,,,,,Spruce; sphagnum
60.80508099666667,-117.21598633333333,2018-12-14,3,1,,,,Holloway_2019,,40.0,,Sand,,,,,
64.442746005,-143.15132816666667,2018-10-19,6,0,999.0,,157.0,James_2019,,,,,,,,,
64.59460660266667,-146.25494673333336,2018-09-13,15,1,104.64285714285714,,157.0,James_2019,,,,,,,,,
64.44339766166667,-143.15223416666666,2018-10-19,6,1,68.2,,157.0,James_2019,,,,,,,,,
64.648276031875,-147.35292962499997,2018-08-19,32,1,91.7741935483871,,157.0,James_2019,,,,,,,,,
64.54339860299999,-145.2190133,2019-08-08,10,1,74.0,,157.0,James_2019,,,,,,,,,
