lat,lon,date,n_grouped,pf_observed,pf_depth,obs_depth,obs_limit,source,transect_point,org_thick,rock,Soil Type,rocky/silty,Wildfire,Widlfire date/name,Burn Year,Canopy and Surface
63.86152237333389,-145.20092101816772,2004-07-21,1,0,0.0,200.0,,Pastick,2.0,0.0,N,,,,,,
63.968144787858016,-145.2400791795712,2004-07-29,1,0,0.0,65.0,,Pastick,1.0,26.0,N,,,,,,
64.05772555785444,-145.72360508138877,2004-09-28,1,0,0.0,80.0,,Pastick,4.0,7.0,N,,,,,,
63.19903423354919,-151.2319829010778,2002-08-30,1,0,0.0,150.0,,Pastick,1.0,1.0,N,,,,,,
63.8036139011499,-150.44822246811006,2002-09-03,1,0,0.0,150.0,,Pastick,1.0,4.0,N,,,,,,
63.93180787138205,-151.9982408817426,2002-08-30,1,1,54.0,54.0,,Pastick,1.0,5.0,N,,,,,,
63.98213596904012,-151.359068967731,2000-08-15,1,1,54.0,62.0,,Pastick,3.0,26.0,N,,,,,,
63.804434628621664,-149.47560218915666,2002-08-02,1,0,0.0,150.0,,Pastick,1.0,0.0,N,,,,,,
64.75792728772836,-146.8527557803414,1999-08-02,1,0,0.0,50.0,,Pastick,2.0,8.0,Y,,,,,,
64.71923350597939,-146.67653689993662,1999-08-26,1,0,0.0,54.0,,Pastick,2.0,5.0,N,,,,,,
63.772517935801496,-146.94460856989676,2003-07-22,1,1,30.0,52.0,,Pastick,5.0,52.0,N,,,,,,
63.77513453788075,-146.6756029185013,2003-07-22,1,0,0.0,152.0,,Pastick,3.0,8.0,N,,,,,,
63.4390254651221,-145.83100374391466,1998-07-23,1,0,0.0,152.0,,Pastick,1.0,10.0,N,,,,,,
63.11331614448534,-145.99174173969172,1997-06-18,1,0,0.0,152.0,,Pastick,3.0,5.0,N,,,,,,
65.26257135836053,-143.55583835938634,2008-08-18,1,1,51.0,57.0,,Pastick,,45.0,N,,,,,,
60.52358,-117.02277,2012-08-18,1,1,100.0,100.0,,Schaefer_2020,,,,,,,,,
62.38303,-113.38303,2013-08-10,1,1,74.83333333,74.83333333,,Schaefer_2020,,,,,,,,,
68.63,-150.27,2013-08-11,1,1,47.7,47.7,,Schaefer_2020,,,,,,,,,
68.920772,-150.036893,2013-08-11,1,1,52.35,52.35,,Schaefer_2020,,,,,,,,,
68.950556,-150.835485,2013-08-11,1,1,47.05,47.05,,Schaefer_2020,,,,,,,,,
68.98135,-148.83099,2014-08-13,1,1,88.0,88.0,,Schaefer_2020,,,,,,,,,
69.017626,-150.915936,2013-08-11,1,1,48.85,48.85,,Schaefer_2020,,,,,,,,,
69.083073,-150.192424,2013-08-11,1,1,55.2,55.2,,Schaefer_2020,,,,,,,,,
69.125093,-148.148851,2014-08-11,1,1,37.7,37.7,,Schaefer_2020,,,,,,,,,
69.142566,-150.920629,2013-08-11,1,1,42.95,42.95,,Schaefer_2020,,,,,,,,,
69.281249,-150.478394,2013-08-11,1,1,47.15,47.15,,Schaefer_2020,,,,,,,,,
69.429722,-150.873225,2013-08-11,1,1,53.1,53.1,,Schaefer_2020,,,,,,,,,
70.03275,-148.641444,2018-08-24,1,1,43.59090909090909,43.59090909090909,,Schaefer_2020,,,,,,,,,
67.4749,-162.2664,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
67.7142,-150.585,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
62.12400000000001,-141.847,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
61.274,-142.621,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
69.972,-144.7706,2015-12-15,1,1,50.0,100.0,101.0,Wang_2018,,,,,,,,,
68.069,-149.58,2016-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
66.2759,-164.5309,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
70.8645,-153.90670000000003,2015-12-15,1,1,50.0,100.0,101.0,Wang_2018,,,,,,,,,
65.2752,-163.82,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
70.5685,-152.965,2015-12-15,1,1,50.0,100.0,101.0,Wang_2018,,,,,,,,,
70.3352,-152.052,2015-12-15,1,1,50.0,100.0,101.0,Wang_2018,,,,,,,,,
61.603,-143.013,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
68.156,-156.8958,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
67.5448,-157.0774,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
70.4416,-154.3656,2015-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
69.9896,-153.0938,2015-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
67.5734,-158.4317,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
68.3165,-161.4918,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
69.7516,-154.6176,2015-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
70.6898,-152.6333,2015-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
67.1414,-162.9945,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
69.7776,-144.7933,2015-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
69.8894,-142.9839,2015-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
67.7663,-152.1642,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
70.0366,-157.0814,2015-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
67.6243,-154.3446,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
62.71,-150.54,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
68.6816,-144.8421,2015-12-15,1,1,100.0,100.0,101.0,Wang_2018,,,,,,,,,
67.4599,-159.8413,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
67.995,-160.3957,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
66.606,-160.01899999999998,2016-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
70.6285,-156.8353,2015-12-15,1,1,50.0,100.0,101.0,Wang_2018,,,,,,,,,
67.5502,-163.5672,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
60.908,-142.901,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
61.181,-144.342,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
70.1959,-161.07809999999998,2015-12-15,1,1,75.0,100.0,101.0,Wang_2018,,,,,,,,,
64.517,-143.202,2016-12-15,1,0,,100.0,101.0,Wang_2018,,,,,,,,,
69.3957,-152.1428,2015-12-15,1,1,50.0,100.0,101.0,Wang_2018,,,,,,,,,
70.374,-148.552,2016-12-15,1,1,50.0,100.0,101.0,Wang_2018,,,,,,,,,
